id,url,URL-similar(official store),URL-single
2,https://shopee.sg/Coca-Cola-Original-Taste-(24-x-320ml)-Case-i.91799978.22018856589,https://shopee.sg/Coca-Cola-Original-Taste-(12-x-320ml)-Case-i.881762950.20154679429,
43,--,--,
4,https://shopee.sg/Coca-Cola-Original-Taste-(12-x-1.5L)-(Halal)-i.91799978.10056579575,--,
5,https://shopee.sg/Coca-Cola-Zero-Sugar-(24-x-320ml)-Case-i.91799978.22707967018,https://shopee.sg/Coca-Cola-Zero-Sugar-(12-x-320ml)-Case-i.881762950.20154679425,
46,--,--,
47,--,--,
138,--,--,
139,--,--,
140,--,--,
6,https://shopee.sg/Coca-Cola-Zero-Sugar-(24-x-500ml)-%E2%80%93-Case-(Halal)-i.91799978.12457870506,--,
14,--,--,
7,https://shopee.sg/Coca-Cola-Zero-Sugar-(12-x-1.5L)-%E2%80%93-Case-(Halal)-i.91799978.15013002235,--,
8,https://shopee.sg/Fanta-Orange-(12-x-320ml)-Case-(Halal)-i.91799978.6806788601,--,
9,https://shopee.sg/Fanta-Orange-12-x-1.5L-i.91799978.41050269826,--,
10,https://shopee.sg/Fanta-Grape-(12-x-320ml)-Case-(Halal)-i.91799978.3406884412,--,
144,--,--,
11,https://shopee.sg/Fanta-Grape-12-x-1.5L-i.91799978.41050269836,--,
12,https://shopee.sg/Coca-Cola-Light-(24-x-320ml)-Case-i.91799978.22707967004,https://shopee.sg/Coca-Cola-Light-(12-x-320ml)-Case-i.881762950.20254679306,
3,--,--,
13,https://shopee.sg/A-W-Sarsaparilla-Root-Beer-(12-x-320ml)-Case-(Halal)-i.91799978.2712915662,--,
15,https://shopee.sg/A-W-Sarsaparilla-Root-Beer-(12-x-1.5L)-Case-(Halal)-i.91799978.10576151035,--,
17,https://shopee.sg/Minute-Maid-PLUS-Orange-Fruit-Drink-(12x1.5L)-i.91799978.44100259909,,
19,https://shopee.sg/Sprite-(24-x-320ml)-Case-i.91799978.22707966994,https://shopee.sg/Sprite-(12-x-320ml)-Case-i.881762950.20754680520,
20,https://shopee.sg/Sprite-Bottle-(24-x-500ml)-Case-i.881762950.20254679310,https://shopee.sg/Sprite-Bottle-(24-x-500ml)-Case-i.881762950.20254679310,
21,https://shopee.sg/Sprite-Bottle-(12-x-1.5L)-Case-i.881762950.19454679479,https://shopee.sg/Sprite-Bottle-(12-x-1.5L)-Case-i.881762950.19454679479,
53,--,--,
54,--,--,
65,--,--,
66,--,--,
57,--,--,
58,--,--,
61,--,--,
62,--,--,
59,--,--,
60,--,--,
22,https://shopee.sg/Minute-Maid-Qoo-White-Grape-(12-x-300ml)-Case-of-drinks-(Halal)-i.91799978.2712915733,--,
55,--,--,
56,--,--,
52,--,--,
23,https://shopee.sg/Schweppes-Ginger-Ale-(12-x-320ml)-Case-(Halal)-i.91799978.2712915668,--,
